gene	MII_oocyte	zygote	early_2cell	2cell	4cell	8cell	mESC
Olfr603	1.83427	1.76955	1.90496	0.825328	0	0	0
Otof	0	0	0	0	0	0	0
Deb1	7.27269	6.55887	14.7806	70.4407	80.4956	50.3998	49.1328
Vkorc1	435.36	94.3942	97.4328	95.3498	78.2543	50.3302	26.4277
Mycn	0	0.112212	0.344537	0.327208	1.01088	1.33528	32.156
Specc1	0.0282828	0.0879407	0.0357835	0.00612463	0.0540137	0.0656459	0.0583572
C87414	308.371	424.897	375.827	31.8974	2.39912	0.66697	0
Olfr574	0	0	0	0	0	0	0
Mpo	0.540159	0.573238	0.418995	0.0703442	0.107538	0.151487	0
Tsc22d1	299.937	233.969	82.8568	18.6863	29.1403	20.0779	34.608
1700061F12Rik	4.73682	3.77984	3.07073	0.594305	0	0	0
Ppp2r2a	17.5916	19.9586	20.882	21.6528	39.1642	37.2812	16.5993
Mprip	6.40446	3.37521	4.8191	8.46833	4.80927	3.08809	2.13743
Mageb16-ps1	0.0111323	0.00452897	0.0437978	0	0.00512808	0.152142	0.0646826
Mir29c	0	0	0	0	0	0	0
Pwwp2a	1.1958	2.35078	1.38717	8.21157	2.72785	4.35628	7.26642
Mef2a	0.209069	0.0250261	0.132278	2.95583	1.75769	0.691146	0.647249
9330151L19Rik	0	0.0764318	0.0546415	0.778407	0.71627	0.242675	0.271411
Pcdh10	0.258364	0.369	0.482124	0.363092	0	0	0.0434532
Methig1	0.861969	3.47801	3.43391	1.08972	1.14364e-07	1.0952e-06	0
Gm5615	0.237562	0.230611	0.146992	0	0	0	0
Stac2	0.0662427	0.0313664	0.523476	6.62578	20.659	16.1149	0.0447044
Rad9b	0.842184	1.23851	1.08021	2.15214	1.95282	0.834754	1.37059
Wnt8a	0	0	0.120204	0.155578	0	0.0266834	0
Ovca2	0.305913	0.342165	0.105496	1.53413	3.98212	4.23222	5.02708
Xrcc2	15.0788	9.87651	6.62267	5.68731	8.89113	2.67138	2.6614
Farp2	4.99921	2.67699	2.39023	1.4362	3.1827	1.72377	0.0365105
Uckl1	15.168	5.95679	9.64924	1.32925	0.501205	1.20788	1.50327
Dclre1c	3.74649	3.91651	0.996424	0.497408	2.18877	9.00656	1.72791
Dlx5	0	0	0.0704957	0.0677646	0	0.203206	0.112791
Olfr895	0	0	0	0.0541609	0	0	0
Cib4	0.383521	0.251297	0.214604	0	0	0.120412	0
Reps2	0.32935	0.567471	0.22945	0.138365	0.425322	0.727867	0.357346
1700120G07Rik	0	0	0	0	0	0	0
Vmn1r61	0.099605	0	0	0	0	0	0
Fxr1	67.9507	91.4057	44.9148	37.5599	22.7842	29.8253	37.0389
Endog	0.0975865	1.9963e-07	9.74438e-08	1.50941	3.98816	3.14295	3.09121
Olfr27	0	0	0	0	0	0	0
Eif3i	232.954	68.6797	112.24	89.5481	179.73	253.925	118.382
Mir6979	0	0	0	0	0	0	0
Tmem25	0	0	0	0.0191421	0.117099	0	0.118234
Atp6v1c1	104.171	98.065	59.7241	62.8505	110.104	96.585	20.125
Plekha7	0.0605758	0.043263	0.00951967	0.0100624	0.257946	0.147722	0.216855
Ttc21b	0.509995	0.229053	0.164978	0.029537	0.120197	0	0.65634
Slc20a2	4.97369	0.36083	0.317315	1.19568	1.27042	0.588178	4.82542
Spin4	0.29781	0.559485	0.21664	0.0416209	0.0635136	0.116799	0.60873
Brf1	0.617909	0.718255	0.691914	4.12796	2.2715	1.41327	1.39566
Rab11fip2	0.230473	0.285765	0.268081	0.500963	0.218193	0.0351154	0.175064
1190005I06Rik	183.786	38.8688	68.2112	23.1884	1.96844	0.127672	10.2288
1700022A21Rik	0	0	0	0.0328636	0.564849	0.732318	0
Fbxo15	28.601	18.0192	25.5869	512.19	1227.74	1801.66	64.0998
Wdr18	0.480246	0.373352	0.313611	20.2892	72.2848	77.5515	13.5499
Vmn1r122	0	0	0	0	0	0	0
Pik3ap1	0.0262058	0.0556566	0.0162762	0.0683475	0	0	0
Polb	41.8582	49.7394	49.4112	17.3848	22.8255	38.1772	13.565
Krtap21-1	0	0	0	0	0	0	0
Siglecg	0.0277718	0.0589094	0.172196	0	0.0662703	0.824397	0.0557547
Mir374b	0	0	0	0	0	0	0
Olfr1497	0	0	0	0	0	0	0
Cep120	42.0596	28.3903	34.144	15.6027	11.4969	5.05725	4.1839
Selenbp2	0.0216935	0	0.0793667	0.238257	0.162908	0.904799	0
Bzw1	30.1388	40.0221	43.1898	249.55	278.036	300.447	128.662
Ascl5	0	0	0	0	0	0	0
5330426P16Rik	0	0.0559817	0.342443	0.407494	0.0624187	0.459509	0.709433
Tagln3	0	0.191273	0.0414439	0	0	0	3.17038
Scgb2b3	0	0	0	0	0	0	0
Anxa1	0	0	0.166166	0	0	0	2.66226
Apc	6.71059	8.25008	6.93653	17.4344	5.76566	3.30626	2.14295
Gm6277	1.1312	0.298541	0.357326	0.302616	0	0	0
Mrpl15	0.458869	1.46884	1.07639	10.3685	30.9997	41.5652	88.7338
Defa21	0	0	0	0	0	0	0
Dusp18	23.2785	12.865	14.267	2.37197	2.08572	2.1295	0.316177
Akap9	5.02747	4.51181	2.83333	3.04881	0.615724	0.551848	1.02751
Hic1	0.0206569	0.0440659	0.0387224	0.0543864	0.398691	0.0820943	0
Atg9a	7.54124	3.68945	4.53219	13.1388	51.4364	39.8767	0.39177
Gm19782	0	0	0	0	0	0	0
Kdm4d	0.539409	0.109151	0.33521	0.536409	0.225463	0.0433305	0.362086
Rapgef6	11.1326	6.68884	4.90119	3.93518	2.80959	2.57397	1.82732
4930521E06Rik	0.0991186	0.265368	0.057061	0.057537	0.0710784	0	0.180069
Gls2	1.22456	0.473609	0.524068	13.2345	25.4344	9.97743	6.13329
Serbp1	31.0928	22.2868	8.6778	33.0262	68.1946	80.722	91.7433
Kptn	0	0.312946	0	2.58025	10.6747	13.9698	2.02045
G530011O06Rik	0	0.0205919	0.0541506	0.0378309	0.18513	0.195441	0.0584124
Ccl4	1.98369	1.58131	1.15969	0	0	0	0
Bcas2	78.761	47.3818	61.9252	57.3917	81.0593	119.679	185.244
Trim69	0	0.0580874	0.177583	0.0791722	0.0970412	0.113335	0
Slitrk2	0	0	0	0	0	0	0.0168401
Zfp707	0.0798856	0.223785	3.0556	101.608	85.8975	26.5916	3.62375
Mir29b-2	0	0	0	0	0	0	0
Mir764	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0
Cd101	0.248933	0.147488	0.103671	0	0	0	0
Zscan12	0.95907	1.88687	1.28051	1.64816	2.9578	0.804904	2.14427
A930003A15Rik	0.0837118	0.0498775	0.0489468	0.0441451	0.0613321	0.113084	0
Tpm4	1.63238	1.68692	1.9898	1.22559	3.73786	39.0722	15.4587
Sult2a1	0	0.452329	0.43945	0	0	0	0
Kcnj3	0	0	0	0	0	0	0
Tmed1	0	0	0.198551	1.72202	15.4646	32.8221	11.9655
H2-Q4	0	0	0.140551	2.54682	1.62714	1.09042	0.11987
Ascl3	0	0	0.161445	0	0.494316	0	0
Diablo	17.116	12.2492	16.8338	50.3752	59.8275	68.1611	23.5007
Olfr944	0	0	0	0	0	0	0
Prom2	0.0154665	0	0	0.0205534	0.100399	0.536015	0.0316223
Ugt2a2	0	0	0	0	0	0	0
Kctd20	17.1826	11.8122	13.9676	24.9305	34.2939	29.6665	3.93596
9430018G01Rik	0	0	0	0.0212414	0	0	0.0327044
Trf	0.0298408	0.0421299	0.221535	0.0386764	0	0	2.32933
Cdc42ep2	19.7486	28.9797	27.0293	15.1602	40.6856	16.8399	0.0985822
Nab1	2.76724	3.5971	1.91222	4.70939	0.547774	0.117094	0.417005
Gm10549	0.0251555	0	0	0	0	0	0
Rpgr	6.79977	9.03258	5.22617	1.26525	1.415	4.16167	2.25922
Ppil6	1.72108	1.06386	0.873995	0.562629	0.231059	0.239992	0
Syap1	0.511303	0.467005	1.32077	64.8989	65.3318	66.7461	4.63368
Recql4	0.0670836	0.273338	0.274694	0.992672	1.60332	0.753322	1.20633
Cyp2j13	0	0	0.00937745	0	0	0	0
Mon1a	1.31675	1.0692	1.91357	30.2356	84.3316	53.7575	0.671894
Adrm1	6.21009	17.4358	12.3369	54.4186	162.62	171.376	17.0855
Comtd1	1.24936	0.286314	0.405177	0.585618	1.65577	0.903758	1.68445
Prp2	0	0	0	0	0	0	0
Olfr131	0	0	0	0	0.13477	0	0
Trat1	0	0	0	0	0	0	0
Snapin	27.2884	23.0951	26.1917	6.89183	8.10559	12.054	12.9165
Olfr197	0	0	0	0	0	0	0
Znrd1	1.23534	5.85558	7.32597	205.722	174.283	142.304	103.727
Plac9b	0	2.85585333333333e-07	0.0837978	3.52437	5.00055666666667	9.61297333333333	0.311753333333333
1810010D01Rik	0	0	0	0	0.068295	0.188237	0
Krtap3-2	0	0.055824	0	0	0	0	0
Ypel4	0	0	0	0.146278	0	0.185585	0
Tmod2	5.4687	3.91816	3.17193	2.13932	0.547617	0.325776	0.460133
Wap	0	0	0	0	0	0	0
Sema6a	1.99645	0.377181	0.600959	0.0742842	0.0679433	0.0267633	0.133231
Fbxw13	5.61251	11.5959	7.11506	3.95918	1.17569	0.109494	0
Pcca	6.12448	7.92477	6.83775	0.686866	0.209987	0.266288	2.54379
Ugt1a5	0	1.34593e-07	1.32718e-09	1.66427e-07	2.20002e-07	1.92707e-07	0
Aanat	0.889797	0.635349	0.600695	0.248737	0	0	0
Mir344f	0	0	0	0	0	0	0
Trpm5	0	0	0	0	0	0	0
Ddx59	15.2606	10.0866	12.7	4.03395	2.26326	1.50243	3.07655
Usp40	0.487044	0.146515	0.282294	0.332981	0.551988	1.2693	1.31332
Frrs1	0.216066	0.135988	0.153337	9.70536	23.3058	46.1881	11.3109
Klf3	0	0.0849921	0.688948	1.65764	1.45557	2.58537	8.13167
Myo10	15.0992	8.14956	9.59321	5.85215	2.33572	0.858011	2.67795
Isg20l2	0	0.0332126	0.714462	16.606	29.6156	13.8856	8.7018
Atg4a	4.34133	9.04992	4.92385	1.01709	0.987449	1.72671	1.56605
Serp2	0	0	0.0719277	0	0	0	0.181608
Susd2	0	0	0.0291388	0.153219	0.0374551	0.250959	0.47257
Pglyrp3	0	0	0	0	0	0	0
Ogdhl	11.1169	2.11392	2.32895	0.305332	0.108782	0.175627	0.627257
Ikzf2	0.366792	0.350062	0.380829	0.224841	0.0274082	0.00389049	0.221089
Prkcq	0	0	0.0629918	0.185852	0.243269	0.0229033	0
Rab9	25.6959	22.4554	27.947	28.427	22.0695	20.5612	38.4442
4931440J10Rik	0	0	0	0	0	0	0
Ireb2	38.5299	36.458	39.2649	30.7985	13.4425	7.88391	10.8818
1600014C10Rik	0	0.0454755	0	0.392661	1.38798	1.46672	0.432332
Hoxd3	0	0	0	0	0	0	0
Cacnb1	0	0.0324204	0.0260999	0.876609	2.87203	1.6294	0.586357
9130023H24Rik	2.23034	6.24702	8.60787	6.48787	4.07908	1.4258	0.414411
Atp6ap1l	0.0688529	0.282914	0.694926	1.96814	4.79198	1.93229	0
4930563M20Rik	0	0	0	0	0	0	0
4930433B08Rik	0	0	0	0	0	0	0
Uck2	10.9131	30.6805	47.0424	117.546	114.052	57.4096	23.8797
Tmed9	8.61316	3.82432	1.30037	4.68837	7.32551	1.57361	14.5474
Acnat2	0	0	0	0.0281622	0	0	0
Fam214a	26.5905	29.5698	26.3804	10.3803	14.3842	9.0937	0.224149
Mir465b-1	NA	0	0	0	0	0	0
Gstm4	0	0	0.313837	0.13987	0.398377	0.361629	4.02923
Clptm1l	5.74902	1.89623	1.30082	4.54385	3.08061	4.62962	5.43734
Vmn2r3	0.00853325	0.0181319	0.00757628	0.0403797	0.00681013	0.0143973	0.206236
Gm7444	0	0.0119104	0.0908119	0.0110649	0.0135103	0.0286562	0.0340774
Gm4956	0.142209	0	0.0842334	1.5944	0.371278	0.147232	0
Lcn4	0	0	0.141509	0	0	0	0
Cldn13	0	0	0	0	0	0	0
Slc35b4	20.1318	39.9312	35.6444	4.65866	4.92401	6.25554	2.62258
Prss48	0.926337	0.311519	1.12721	0	0.0670278	0.0462134	0
Cd248	0.0268176	0	0	0	0	0	0.10783
Rhox3g	0	0	0	0	0	0.103096	0
Agr2	0	0	0	0.144246	0	0	0
Mob1a	47.2589	19.6145	26.104	86.3946	68.3448	69.5607	2.89694
Olfr1062	0	0	0	0	0	0	0
Ergic1	15.0208	4.40062	4.87035	1.66218	1.41456	3.90406	5.53054
Olfr1243	0	0	0	0	0	0	0
Drd2	0	0	0.176224	0.0304318	0	0	0
Rps11	30.5953	47.7316	32.7368	744.889	1354.22	1870.16	2134.3
5430416N02Rik	0	0	3.48128	3.85301	8.20168	6.63176	21.1498
Gm20809	0.0165080285714286	0	0	0	0	0	0.0229245714285714
Mal2	0	0	0	0	0	0	0.148374
Ampd2	2.92598	1.53754	2.04241	0.406666	0.789041	0.408889	1.64452
Gm20300	0	0	0.0121009	0.216874	0.2805	0.396248	1.02212
Gsk3b	2.33074	1.93968	1.45563	7.50936	8.0263	9.61621	2.24995
Klhdc7a	0	0	0	0	0	0	0.0450659
4930444P10Rik	0	0	0	3.58528	10.3558	13.6248	0
Mvb12a	0.948523	0.832539	0.882338	6.95502	25.9715	23.2459	9.29541
Slc25a36	1.27514	1.18685	0.912209	29.6267	24.9834	24.9995	3.38329
Eda2r	0	0	0.0200702	0.125938	0.102769	2.03466	5.11029
Peg13	0	0	0.103754	0.0365889	0	0	0.0281528
Igsf21	0.142562	0.0250444	0.0876491	0	0.0280116	0	0.919517
Mis18bp1	40.0109	59.6347	29.4669	20.8609	14.5939	12.4995	17.9544
Cox6b2	188.256	72.3576	192.884	141.151	10.0021	4.87705	39.389
Cdip1	19.7314	15.1779	12.0697	18.8428	17.1926	11.829	3.58946
Pml	0.70637	0.531555	0.948214	1.09585	2.54513	1.21932	3.74124
Sulf1	0.373483	0.236108	0.316316	0.0286679	0.0229136	0	1.92521
Vbp1	13.8111	85.9096	29.8724	75.911	49.3519	103.924	118.516
Dcaf13	23.6368	37.6941	20.8616	97.2671	140.587	218.679	44.2286
Acd	55.6941	49.3949	104.208	17.7071	19.8926	19.0738	9.34974
Plxna4	12.717	8.01231	11.4412	0.780368	0.122446	0.121747	0
C8a	0.15031	0.200702	0.141168	0.223318	0	0	0.0382156
Krt73	0.621169	3.93755	5.25268	0.442797	0	0	0
Gm17644	0	0	0	0	0.0224369	0.00395959	0
Klhl41	0	0.0191745	0.168178	0.264687	0.292064	0.244581	0.0907798
Spink5	0	0.0681265	0.01714	0	0	0	0
Sptlc1	113.567	52.4283	41.6225	14.5053	14.3831	20.5033	5.05517
Gpr89	2.85146	7.34318	5.65686	4.125	6.27957	6.86049	3.09098
Lrrc17	306.155	85.0669	49.4379	7.13037	0.93869	0.541039	0.128098
Spryd7	36.619	18.5794	12.45	35.9399	46.3981	55.4138	5.55302
Ifngr1	0	0.0237088	0.186798	1.14963	7.35588	5.26198	0.737528
Fgfr2	15.01	2.20946	2.91544	0.570871	1.39521	6.06735	0.0273574
Gm20125	0.195811	0.369287	0.379732	0.12912	0.0788643	0	0
Tmem30c	0	0	0	0.0346742	0	0	0
Rab4b	2.42632	3.22711	4.5251	1.17965	1.86637	1.8359	3.27869
Hcn1	0	0	0	0	0	0	0
Mroh1	0.880715	0.236425	0.177419	0.106192	0.229734	0.143662	0.150795
Gm4814	0.0989575	0.463694	0.911639	0	0	0	0
1700011A15Rik	5.9265	7.49737	12.4943	0.722214	0	0	0
Olfr1132	0	0	0	0	0	0	0
Slc26a8	0.0180006	0.15392	0.124081	0.714116	0.377919	0.297882	0.0733315
Olfr71	0	0.126397	0	0	0	0	0
Mcpt9	0	0	0	0	0	0	0
Herpud1	0.192759	0.0810849	0.496199	0.270852	0.181001	0.275092	10.3614
Zgpat	0.034334	0	0.274802	11.1508	24.5717	8.97677	0.682692
Olfr512	0	0	0	0	0	0	0
Plgrkt	1.21491	0.439816	0.628683	0.252153	0.233948	0.106989	27.4753
Yap1	22.4188	22.5727	21.1485	34.1639	11.1262	6.24371	4.06093
Rec8	0	0	0.0637622	0	0.108734	0.190951	0.274548
Vrk2	2.62803	1.32606	0.930312	0.339404	0.815719	4.79991	1.24425
Snora24	0	0	0	0	0	0	0
6530411M01Rik	0.13132	0.360607	0.117334	0	0	0	0
Gm11190	3.99741	1.63763	1.21995	0.1286	0.0157092	0	0.0396303
Slc26a1	1.1839	0.428261	0.311435	0.451053	0.233799	0.518728	0
Naaa	3.5406	0.827241	0.230512	0.797388	6.87429	7.02625	1.03319
Icam1	0	0.0766647	0.554746	1.92258	5.04783	2.27903	6.31558
Wipf1	0	0.0313614	0	0.846898	0.755139	1.57247	0.505865
Vmn1r9	0	0	0	0	0	0	0
Rqcd1	18.7845	30.247	29.9612	27.1843	31.7631	28.2965	28.3733
Tceal6	0	0	0	0	0	0	0
Chst11	0.990006	0.98431	1.0363	0.513865	0.0949875	0.127844	0.0958066
Btd	1.43883	2.07193	1.40443	0.543454	2.3153	0.650014	0.950102
Slc8a1	0	0.00846169	0.00211818	0	0	0	0.0138537
Orai3	2.64358	1.50609	1.58124	2.31535	0.870287	0.0394243	2.12668
Gimap3	0.394222	0.532117	0.506458	0.3601	0.855666	0.437396	0.0654637
Slc22a29	0.593074	0.0821112	0.245188	0.177866	0	0	0
Sars2	5.86913	0.659903	0.369311	3.68218	6.95754	11.2328	2.90359
Rbx1	13.7628	32.969	53.5742	76.9788	67.0402	69.8335	184.678
Brix1	161.572	150.526	75.9268	123.252	118.403	142.118	111.834
Tm9sf1	2.02554	0.580803	0.390521	6.60836	15.446	11.3534	3.46405
Col20a1	0	0	0.00981498	0.134829	0.227905	0.0268664	0
Ankar	0	0.0101639	0.0715869	0.0946401	0.0693059	0.0326976	0
Otub2	12.3637	18.4245	22.8928	4.03295	3.03304	0.72352	1.07226
Usp6nl	1.21294	0.896526	1.11676	0.853191	0.441738	0.456605	0.456693
Mex3d	0.184726	0.145962	0.256535	0.743196	0.346691	0.151523	2.7073
5033403H07Rik	0	0.185179	0	0.281369	0	0	0
Taf9	267.691	252.71	273.488	852.002	615.531	448.157	150.541
Olfr711	0	0	0	0	0	0	0
Styk1	30.8629	31.6969	20.2972	2.58799	0.285963	0.168294	0
OTTMUSG00000016609	0.21147	0.244702	0.441889	0.0716876	0.2544255	0.4398765	0.370391
Tekt2	1.31666	1.89921	3.86096	4.62959	8.01716	3.09936	0.393416
Gm13293	0	0.0322107	0.0561965	0	0	0	0
1700007F19Rik	0	0.0314511	0	0	0	0	0
Syt1	5.07097	4.56048	2.11127	0.282625	0.0445577	0.00788065	0
Cyb561d2	8.12997	4.0885	1.97328	2.02756	10.2902	12.3482	3.86248
Gm15284	0	0	0	1.44142	0.769327	0.0543922	0
Reg3a	0.334986	0.444255	1.39664	0	0	0	0
Olfr1176	0	0	0	0	0	0	0
Gys2	0.154443	0.145836	0.0959711	0.0167967	0	0	0
Tsc1	18.5351	7.96667	7.14643	6.43504	8.24449	4.91999	0.510712
Olr1	0	0	0	0	0	0	0
P2ry10	0	0	0	0	0	0	0
Pcdhga10	0	8.32206e-75	0.0390438	8.16621e-25	0.0451154	2.14071e-09	1.8852e-07
Hapln3	0	0	0	0	0.32668	0	0.103213
Wdr62	4.53995	1.62311	2.54851	2.6052	5.6807	5.66946	0.532668
Slc4a4	0.1867	0.134053	0.222499	0.0684422	0.0140411	0	0.0531071
G630093K05Rik	0	0	0	0	0	0	0.0771493
Crabp1	0	0.197599	0.942588	0.067221	0.665965	0	14.3542
Zc3hc1	0.23488	0.603517	3.14111	49.994	65.5865	112.46	18.4737
Huwe1	5.03557	4.17114	3.80491	7.61362	6.43136	12.814	3.96629
Gm15698	1377.35	660.394	431.789	143.209	108.209	96.7846	0.833309
Nfe2	0.0400743	0.0360215	0.0498349	2.98736	1.5532	0.996226	0.226545
Snx25	4.84823	1.30899	0.62967	0.0432237	0.176068	0.136666	0.533087
Ddx51	1.37693	1.44373	1.45663	3.75103	8.13304	5.94988	3.20813
Mir326	0	0	0	0	0	0	0
Aars2	0.199142	0.31171	0.311331	0.236234	1.04214	1.63036	1.69881
Gm16548	2.57159e-05	0.516791	0.731919	2.08735e-07	0	9.98024e-08	0
Mir6946	0	0	0	0	0	0	0
Akr1a1	64.5947	78.7708	66.9094	49.7125	119.002	164.255	112.478
Prrg4	0.238358	0.811492	0.93506	0.296478	0.13352	0.322807	0.336923
Ccdc6	240.077	334.781	428.66	450.164	199.311	29.5898	4.24582
Dmrt3	0	0	0.0359172	0.338781	0	0	0.232478
Mir6362	0	0	0	0	0	0	0
Mir141	0	0	0	0	0	0	0
Polr3f	13.8818	15.8532	13.1995	6.09065	15.5216	11.4471	4.72867
Ndufs3	7.79534	17.9857	14.2401	30.8264	63.7668	78.9202	53.6062
Myo1a	0.0397763	0.254707	0.248746	0.222829	0.0800628	0.474925	0.12119
2310002D06Rik	0	0	0	0.512511	0	0	0
Mir7210	0	0	0	0	0	0	0
Gpd1l	69.3082	47.8641	67.4153	102.344	336.348	350.059	1.51905
D030047H15Rik	0	0.0383825	0.0504969	0.936024	0.604787	0.16734	0.218058
Sox3	0	0	0	0	0	0	0
Mcm4	129.336	55.6745	53.2455	9.17369	41.2562	29.5234	30.8948
Gm16445	0.466093	0	0.364672	0	0	0	0
Trim66	0.0964405	0.0541062	0.0480659	0.0139246	0.0452781	0.0361498	0.042214
Olfr76	0	0	0	0	0	0	0
Gm20187	0.45266	0.508703	0.289257	0.185752	0	0	0
Dynlrb2	0.815198	0.161131	0.13285	0	0	0	0
Sec11c	20.1992	30.8757	17.248	5.60049	9.66608	21.3619	10.2535
Glipr2	0.105745	0.520307	0.737131	3.14653	3.65903	6.89129	2.79976
AU015228	0.203677	1.02827	7.24566	57.304	9.19885	2.00316	0.0457804
Dmxl2	5.792	3.13615	4.1913	2.9072	1.52416	1.17856	0.428238
Mir2861	0	0	0	0	0	0	0
Gm10825	5.43919	5.57743	4.15646	0.710298	0.0406606	0.0123316	0.0292984
Ncf1	0	0	0	0.818324	2.23556	0.618739	0.050466
Eif4h	1.32275	10.7879	6.8571	34.0334	129.013	152.061	50.7863
8030411F24Rik	0	0	0	0	0	0.167049	0
Rfesd	1.76936	1.53515	1.23991	0.380083	0.344932	0.545494	2.72388
Olfr1347	0	0	0	0	0	0	0
Neurod6	0	0	0	0	0	0	0
Pde6c	0	0	0.0292109	0	0	0	0
Snx19	1.3454	0.664558	0.600178	0.317908	0.737854	0.321652	0.71559
Olfr46	0	0	0	0	0	0	0
Slco6c1	0	0	0	0	0	0	0
Slc22a30	0.33918	0.351221	0.490202	0.0687348	0.0280582	0	0.035425
Gm10857	100.498	56.8773	94.1197	16.3401	3.92706	1.00742	0.0987628
Cpa4	0	0.16943	0.0211847	0.331955	0.189673	0	0
Pde4dip	10.3623	4.86814	5.59965	2.45144	1.0152	0.738764	0.849354
Rhog	0.0626208	0.0430901	0.0748383	1.50006	1.22947	6.08729	1.91328
Dpcr1	0.42056	0.260499	0.652958	0.428406	0.440059	0.0295269	0
Mgll	0	0.0714163	1.20615	7.22165	2.75067	1.84787	0.10993
Efr3a	14.6917	12.0326	8.3437	4.76036	2.29914	1.46395	6.30624
Rpl31	0.819502	2.33791	1.11834	11.6876	35.8153	45.8427	148.408
Siglec15	0	0	0	0	0	0	0
Tm4sf5	0	0	0.258748	1.57353	0.905972	1.29528	0.655446
Trip6	0.124399	0.116022	0.152016	0.0790717	0.0969173	0	4.0801
Mir1906-2	0	0	0	0	0	0	0
Olfr628	0	0	0	0	0	0	0
Ccdc113	1.05694	2.09704	0.706211	0.229292	0.0469798	0	0.831599
Rinl	0	0.0334651	0	2.7033	13.3685	8.33578	2.66818
Exosc8	55.8823	40.081	24.3695	39.906	53.4062	81.7048	134.596
Siva1	438.924	154.359	361.612	189.711	145.2	121.713	112.494
Dusp11	0.307274	1.30092	1.00895	0.525031	1.24019	4.93559	2.96338
Klhdc4	0.373879	1.07617	2.09339	7.85275	17.9429	16.2755	13.1854
Gm732	0	0	0	0	0	0	0
Akap6	0.628897	0.720358	0.430295	0.164846	0.0502323	0	0.0253241
Gmeb1	4.62691	2.75918	3.20017	4.8145	5.61982	4.20541	4.1142
Egfl7	0	0	0	1.14448	0.834629	1.33996	5.27849
Gpr160	0.869516	0.456685	0.564075	7.9344	15.1269	16.102	2.04857
Bckdha	0.53433	0.373867	0.502468	3.63368	11.7586	12.4849	7.36447
Gm13154	0.156094	0.705058	1.35716	2.74348	5.92044	13.9955	49.8348
Rp1	0.157418	0.276306	0.150942	0.029017	0	0	0.106906
Ffar4	0.995137	0.267808	0.76567	0.0343587	0.0421978	0	0.106669
Spam1	19.2552	15.1543	10.5489	3.76842	0.237905	0.0185539	0
Hbb-y	0	0	0	0	0	0	0
Pnisr	28.8046	15.073	7.55316	15.0891	12.1134	11.9559	8.59036
Vwa7	0.0732849	0.058795	0.209378	0.0619317	2.09084e-08	0.0398472	0.0309717
Sars	5.48631	17.6033	12.3542	3.72721	11.1751	18.5606	25.5973
Krt42	0.145508	0.0674833	0.205905	0	0	0	10.6773
Fam160b2	0.406724	0.278611	0.459642	1.49967	4.57745	2.60812	0.697714
Frk	2.1388	1.47898	1.75973	0.660801	0.411553	0.892189	0
1810026J23Rik	0.507663	0.27063	0.290618	8.98644	7.46184	5.51888	3.38785
Arr3	0	0	0	0	0	0	0
Hc	0.51953	0.524234	0.186239	0.00789084	0	0	0
4930596I21Rik	0	0	0	0	0	0	0
Tnnt3	0	0	0	0	0	0	0
Olfr1197	0.279603	1.00254	0.161924	0	0	0	0
Man1b1	0.21175	0.238971	0.232304	3.12876	8.06932	6.92237	1.36656
Idh1	22.0246	23.0478	15.8954	1.37862	4.93893	69.2189	27.2196
Olfr418-ps1	0	0	0	0	0	0	0
Ly6h	0	0	0	0	0	0	0.363725
Zfp459	0	0.299469	0.0752007	0.0132076	0.822893	0.57538	5.85152
Gm5878	0	0	0	0	0	0.0160929	0
Vaultrc5	1.86928	49.0418	42.5584	25.6831	11.5202	5.11002	5.12507
Unc119	0	0.169539	0.55226	0.795206	0.791306	1.42563	5.06121
H13	45.535	30.2703	28.9124	5.76919	10.722	10.8433	2.69696
Olfr1381	0	0	0	0	0	0	0
Faim	25.8888	14.7572	17.4336	14.174	13.3641	13.748	24.0844
Bend6	0.2435	0.365094	0.790369	0.65027	0.916261	0	0.24347
C1ql4	0	0	0	0.311764	0.677482	0.329101	0
Rps24	6.02974	23.4041	16.6812	182.801	379.735	453.206	692.276
1700008C04Rik	0	0	0	0	0	0	0
Mis18a	61.029	103.392	28.3551	153.653	83.3976	67.7892	33.0824
Mir6239	0	0	0	0	0	0	0
Sdhaf1	4.23772	1.15436	6.80893	2.59965	2.02945	1.1744	7.62588
Rasgef1b	0.42776	1.48763	3.06274	0.7242	0.162477	0	0.0455758
Mrpl20	2.12025	1.87515	2.99881	158.044	280.603	237.91	285.855
C86695	120.048	80.9383	94.1664	0.731747	0.149409	0	0.0754651
Plg	0	0.0875921	0	0	0.0197522	0	0
Cntnap1	7.14745	3.95636	6.88388	3.03345	0.499347	0.166435	0
Gmds	49.0554	30.0964	31.5323	1.53502	0.461339	0.188039	2.42886
AF529169	0	0.0109968	0	0	0	0	0.0314921
Aldh1a2	51.1047	22.3179	15.9099	0.519231	0.14663	0.0515671	0
Mir674	0	0	0	0	0	0	0
Mir128-1	0	0	0	0	0	0	0
1110028F18Rik	0.116051	0.080139	0.452916	0.394934	0	0.0614805	0
Spg11	0.569747	0.557407	0.413171	0.660777	1.178	0.749115	0.853387
Acot2	0.766523	0.697763	1.8433	0.412498	0.340786	0.186359	1.91186
Calhm1	0	0	0.0472852	0.096271	0.0593232	0	0
Sema4b	1.54945	0.309	0.365952	0.110414	0.215704	1.31539	3.89353
